Bases	Contigs	Depth	N50
77002903	5	14.43	5015636
77101493	5	14.45	5015636
77193649	5	14.47	5015636
77271078	5	14.48	5015636
77379731	5	14.50	5015636
77466920	5	14.52	5015636
77530819	5	14.53	5015636
77703644	5	14.56	5015636
77747137	5	14.57	5015636
77851331	5	14.59	5015636
77998149	5	14.62	5015636
78049937	5	14.63	5015636
78162576	5	14.65	5015636
78266591	5	14.67	5015636
78360222	5	14.69	5015636
78500247	5	14.71	5015636
78612690	5	14.73	5015636
78759723	5	14.76	5015636
78890580	5	14.78	5015636
78926283	5	14.79	5015636
79008504	5	14.81	5015636
79081686	5	14.82	5015636
79202412	5	14.84	5015636
79276700	5	14.86	5015636
79376373	5	14.88	5015636
79507785	5	14.90	5015636
79720226	5	14.94	5015636
79863716	5	14.97	5015636
79954012	5	14.98	5015636
80106931	5	15.01	5015636
80156049	5	15.02	5015636
80208444	5	15.03	5015636
80249307	5	15.04	5015636
80401685	5	15.07	5015636
80435950	5	15.07	5015636
80560163	5	15.10	5015636
80742306	5	15.13	5015636
80816685	5	15.15	5015636
80912913	5	15.16	5015636
81051162	5	15.19	5015636
81133114	5	15.20	5015636
81264919	5	15.23	5015636
81428129	5	15.26	5015636
81478361	5	15.27	5015636
81587691	5	15.29	5015636
81612129	5	15.29	5015636
81759352	5	15.32	5015636
81811970	5	15.33	5015636
81937724	5	15.36	5015636
82068105	5	15.38	5015636
82138804	5	15.39	5015636
82173912	5	15.40	5015636
82268515	5	15.42	5015636
82490417	5	15.46	5015636
82588041	5	15.48	5015636
82704939	5	15.50	5015636
82844016	5	15.53	5015636
82915640	5	15.54	5015636
82998240	5	15.55	5015636
83181341	5	15.59	5015636
83256072	5	15.60	5015636
83422676	5	15.63	5015636
83563171	5	15.66	5015636
83654671	5	15.68	5015636
83727242	5	15.69	5015636
83840730	5	15.71	5015636
84055128	5	15.75	5015636
84142238	5	15.77	5015636
84164024	5	15.77	5015636
84296882	5	15.80	5015636
84427800	5	15.82	5015636
84578168	5	15.85	5015636
84711140	5	15.88	5015636
84861045	5	15.90	5015636
84980238	5	15.93	5015636
85041590	5	15.94	5015636
85141357	5	15.96	5015636
85288883	5	15.98	5015636
85435346	5	16.01	5015636
85581594	5	16.04	5015636
85676049	5	16.06	5015636
85770772	5	16.07	5015636
85936839	5	16.11	5015636
86036240	5	16.12	5015636
86154652	5	16.15	5015636
86189305	5	16.15	5015636
86248270	5	16.16	5015636
86399134	5	16.19	5015636
86454075	5	16.20	5015636
86555300	5	16.22	5015636
86664069	5	16.24	5015636
86733556	5	16.25	5015636
86833340	5	16.27	5015636
86935670	5	16.29	5015636
87097424	5	16.32	5015636
87167815	5	16.34	5015636
87243841	5	16.35	5015636
87419463	5	16.38	5015636
87510773	5	16.40	5015636
87595864	5	16.42	5015636
87697653	5	16.44	5015636
87872531	5	16.47	5015636
87931967	5	16.48	5015636
88085102	5	16.51	5015636
88135131	5	16.52	5015636
88193389	5	16.53	5015636
88390819	5	16.56	5015636
88461698	5	16.58	5015636
88530074	5	16.59	5015636
88542051	5	16.59	5015636
88675808	5	16.62	5015636
88764715	5	16.64	5015636
88933119	5	16.67	5015636
89118669	5	16.70	5015636
89316668	5	16.74	5015636
89406209	5	16.76	5015636
89582876	5	16.79	5015636
89582876	5	16.79	5015636
89691644	5	16.81	5015636
89818481	5	16.83	5015636
89858533	5	16.84	5015636
89903844	5	16.85	5015636
89978783	5	16.86	5015636
90044634	5	16.87	5015636
90189270	5	16.90	5015636
90302087	5	16.92	5015636
90382884	5	16.94	5015636
90542588	5	16.97	5015636
90633104	5	16.99	5015636
90743994	5	17.01	5015636
90807052	5	17.02	5015636
90999603	5	17.05	5015636
91141391	5	17.08	5015636
91288998	5	17.11	5015636
91340643	5	17.12	5015636
91428102	5	17.13	5015636
91509201	5	17.15	5015636
91633845	5	17.17	5015636
91695521	5	17.18	5015636
91882891	5	17.22	5015636
92018037	5	17.24	5015636
92130260	5	17.27	5015636
92181896	5	17.28	5015636
92279654	5	17.29	5015636
92400648	5	17.32	5015636
92568380	5	17.35	5015636
92665527	5	17.37	5015636
92804583	5	17.39	5015636
92948524	5	17.42	5015636
93079720	5	17.44	5015636
93213283	5	17.47	5015636
93348581	5	17.49	5015636
93445798	5	17.51	5015636
93595541	5	17.54	5015636
93655647	5	17.55	5015636
93728330	5	17.57	5015636
93802316	5	17.58	5015636
93933617	5	17.60	5015636
94029011	6	17.62	5015636
94089712	6	17.63	5015636
94154323	6	17.65	5015636
94321127	6	17.68	5015636
94371182	6	17.69	5015636
94460437	6	17.70	5015636
94590879	6	17.73	5015636
94769200	6	17.76	5015636
94807544	6	17.77	5015636
94888428	6	17.78	5015636
94983818	6	17.80	5015636
95030848	6	17.81	5015636
95204200	6	17.84	5015636
95225547	6	17.85	5015636
95315300	6	17.86	5015636
95368088	6	17.87	5015636
95528420	6	17.90	5015636
95567319	6	17.91	5015636
95655488	6	17.93	5015636
95710066	6	17.94	5015636
95742403	6	17.94	5015636
95810014	6	17.96	5015636
95912896	6	17.97	5015636
96091182	6	18.01	5015636
96167998	6	18.02	5015636
96296849	6	18.05	5015636
96422915	6	18.07	5015636
