Genome,Method,Bases,Contigs,Depth,N50
citrobacter-freundii_CAV1741,npScarf,32295450,5,6.05,5013097
citrobacter-freundii_CAV1741,npScarf,32457128,5,6.08,5013097
citrobacter-freundii_CAV1741,npScarf,32529730,5,6.1,5013097
citrobacter-freundii_CAV1741,npScarf,32681671,5,6.12,5013097
citrobacter-freundii_CAV1741,npScarf,32792568,5,6.15,5013097
citrobacter-freundii_CAV1741,npScarf,32804058,5,6.15,5013097
citrobacter-freundii_CAV1741,npScarf,32945198,5,6.17,5013097
citrobacter-freundii_CAV1741,npScarf,33056767,5,6.2,5013097
citrobacter-freundii_CAV1741,npScarf,33224773,5,6.23,5013097
citrobacter-freundii_CAV1741,npScarf,33388897,5,6.26,5013097
citrobacter-freundii_CAV1741,npScarf,33485357,5,6.28,5013097
citrobacter-freundii_CAV1741,npScarf,33554244,5,6.29,5013097
citrobacter-freundii_CAV1741,npScarf,33707023,5,6.32,5013097
citrobacter-freundii_CAV1741,npScarf,33818729,5,6.34,5013097
citrobacter-freundii_CAV1741,npScarf,33866305,5,6.35,5013097
citrobacter-freundii_CAV1741,npScarf,33919200,5,6.36,5013097
citrobacter-freundii_CAV1741,npScarf,34106890,5,6.39,5013097
citrobacter-freundii_CAV1741,npScarf,34169093,5,6.4,5013097
citrobacter-freundii_CAV1741,npScarf,34273197,5,6.42,5013097
citrobacter-freundii_CAV1741,npScarf,34367222,5,6.44,5013097
citrobacter-freundii_CAV1741,npScarf,34547207,5,6.47,5013097
citrobacter-freundii_CAV1741,npScarf,34640535,5,6.49,5013097
citrobacter-freundii_CAV1741,npScarf,34751238,5,6.51,5013097
citrobacter-freundii_CAV1741,npScarf,34898296,5,6.54,5013097
citrobacter-freundii_CAV1741,npScarf,35041883,5,6.57,5013097
citrobacter-freundii_CAV1741,npScarf,35107669,5,6.58,5013097
citrobacter-freundii_CAV1741,npScarf,35209491,5,6.6,5013097
citrobacter-freundii_CAV1741,npScarf,35276097,5,6.61,5013097
citrobacter-freundii_CAV1741,npScarf,35378873,5,6.63,5013097
citrobacter-freundii_CAV1741,npScarf,35485165,5,6.65,5013097
citrobacter-freundii_CAV1741,npScarf,35665160,5,6.68,5013097
citrobacter-freundii_CAV1741,npScarf,35685045,5,6.69,5013097
citrobacter-freundii_CAV1741,npScarf,35792213,5,6.71,5013097
citrobacter-freundii_CAV1741,npScarf,35912221,5,6.73,5013097
citrobacter-freundii_CAV1741,npScarf,36118722,5,6.77,5013097
citrobacter-freundii_CAV1741,npScarf,36227288,5,6.79,5013097
citrobacter-freundii_CAV1741,npScarf,36357757,5,6.81,5013097
citrobacter-freundii_CAV1741,npScarf,36489277,5,6.84,5013097
citrobacter-freundii_CAV1741,npScarf,36698067,5,6.88,5013097
citrobacter-freundii_CAV1741,npScarf,36698067,5,6.88,5013097
citrobacter-freundii_CAV1741,npScarf,36764789,5,6.89,5013097
citrobacter-freundii_CAV1741,npScarf,36873373,5,6.91,5013097
citrobacter-freundii_CAV1741,npScarf,37026790,5,6.94,5013097
